country_name,country_iso2,week,category,weekly_rank,show_title,season_title,cumulative_weeks_in_top_10
Malaysia,MY,10/10/2021,TV,10,Oh My Venus,Oh My Venus: Season 1,1
Malaysia,MY,3/10/2021,TV,1,Squid Game,Squid Game: Season 1,3
Malaysia,MY,3/10/2021,TV,2,Hometown Cha-Cha-Cha,Hometown Cha-Cha-Cha: Season 1,5
Malaysia,MY,3/10/2021,TV,3,Alice in Borderland,Alice in Borderland: Season 1,2
Malaysia,MY,3/10/2021,TV,4,Sex Education,Sex Education: Season 3,3
Malaysia,MY,3/10/2021,TV,5,Midnight Mass,Midnight Mass: Limited Series,1
Malaysia,MY,3/10/2021,TV,6,Money Heist,Money Heist: Part 1,5
Malaysia,MY,3/10/2021,TV,7,Maid,Maid: Limited Series,1
Malaysia,MY,3/10/2021,TV,8,Vincenzo,Vincenzo: Season 1,12
Malaysia,MY,3/10/2021,TV,9,Hell's Kitchen,Hell's Kitchen: Season 20,1
Malaysia,MY,3/10/2021,TV,10,Hospital Playlist,Hospital Playlist: Season 2,13
Malaysia,MY,26/9/2021,TV,1,Squid Game,Squid Game: Season 1,2
Malaysia,MY,26/9/2021,TV,2,Hometown Cha-Cha-Cha,Hometown Cha-Cha-Cha: Season 1,4
Malaysia,MY,26/9/2021,TV,3,Alice in Borderland,Alice in Borderland: Season 1,1
Malaysia,MY,26/9/2021,TV,4,Sex Education,Sex Education: Season 3,2
Malaysia,MY,26/9/2021,TV,5,Money Heist,Money Heist: Part 1,4
Malaysia,MY,26/9/2021,TV,6,Hospital Playlist,Hospital Playlist: Season 2,12
Malaysia,MY,26/9/2021,TV,7,Mad Dog,,2
Malaysia,MY,26/9/2021,TV,8,Vincenzo,Vincenzo: Season 1,11
Malaysia,MY,26/9/2021,TV,9,Money Heist,Money Heist: Part 3,3
Malaysia,MY,26/9/2021,TV,10,Money Heist,Money Heist: Part 2,3
Malaysia,MY,19/9/2021,TV,1,Squid Game,Squid Game: Season 1,1
Malaysia,MY,19/9/2021,TV,2,Hometown Cha-Cha-Cha,Hometown Cha-Cha-Cha: Season 1,3
Malaysia,MY,19/9/2021,TV,3,Hospital Playlist,Hospital Playlist: Season 2,11
Malaysia,MY,19/9/2021,TV,4,Sex Education,Sex Education: Season 3,1
Malaysia,MY,19/9/2021,TV,5,Mad Dog,,1
Malaysia,MY,19/9/2021,TV,6,Money Heist,Money Heist: Part 1,3
Malaysia,MY,19/9/2021,TV,7,Lucifer,Lucifer: Season 6,2
Malaysia,MY,19/9/2021,TV,8,Money Heist,Money Heist: Part 5,3
Malaysia,MY,19/9/2021,TV,9,Money Heist,Money Heist: Part 3,2
Malaysia,MY,19/9/2021,TV,10,Money Heist,Money Heist: Part 2,2
Malaysia,MY,12/9/2021,TV,1,Hometown Cha-Cha-Cha,Hometown Cha-Cha-Cha: Season 1,2
Malaysia,MY,12/9/2021,TV,2,Money Heist,Money Heist: Part 1,2
Malaysia,MY,12/9/2021,TV,3,Money Heist,Money Heist: Part 5,2
Malaysia,MY,12/9/2021,TV,4,Hospital Playlist,Hospital Playlist: Season 2,10
Malaysia,MY,12/9/2021,TV,5,Money Heist,Money Heist: Part 2,1
Malaysia,MY,12/9/2021,TV,6,Money Heist,Money Heist: Part 3,1
Malaysia,MY,12/9/2021,TV,7,Couple on the Backtrack,,1
Malaysia,MY,12/9/2021,TV,8,Witch at Court,,1
Malaysia,MY,12/9/2021,TV,9,Money Heist,Money Heist: Part 4,1
Malaysia,MY,12/9/2021,TV,10,Lucifer,Lucifer: Season 6,1
Malaysia,MY,5/9/2021,TV,1,Money Heist,Money Heist: Part 5,1
Malaysia,MY,5/9/2021,TV,2,Hometown Cha-Cha-Cha,Hometown Cha-Cha-Cha: Season 1,1
Malaysia,MY,5/9/2021,TV,3,Money Heist,Money Heist: Part 1,1
Malaysia,MY,5/9/2021,TV,4,D.P.,D.P.: Season 1,2
Malaysia,MY,5/9/2021,TV,5,Clickbait,Clickbait: Limited Series,2
Malaysia,MY,5/9/2021,TV,6,Hospital Playlist,Hospital Playlist: Season 2,9
Malaysia,MY,5/9/2021,TV,7,Vincenzo,Vincenzo: Season 1,10
